Name,Substation,Description,สถานที่ติดตั้ง,สถานที่,การไฟฟ้า,ประเภทอุปกรณ์,ใช้งาน/ไม่ใช้งาน
S1-RCS-0265,S1 FRTU,HUB04S-06,ระบบจำหน่าย,หน้าอนามัย(ตรงข้ามดรุณศึกษา),กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0266,S1 FRTU,HUB05S-13,ระบบจำหน่าย,วัดไกลกังวล,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0267,S1 FRTU,HUB04S-07,ระบบจำหน่าย,โรงเรียนเทศบาล/หอนาฬิกา (เจ็กเปี๊ยะ),กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0268,S1 FRTU,HUB04S-08,ระบบจำหน่าย,หน้าโกลเด้นเพลส,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0269,S1 FRTU,HUB04S-12,ระบบจำหน่าย,สโมสร DOLE,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0270,S1 FRTU,HUB05S-05,ระบบจำหน่าย,ตรงข้ามโรงเรียนพานิชย์ (ตรงข้าม honda),กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0271,S1 FRTU,HUB05S-06,ระบบจำหน่าย,ตรงข้ามโรงเรียนพานิชย์,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0272,S1 FRTU,HUB05S-10,ระบบจำหน่าย,หน้า 48ไร่ หลังค่ายนเรศวร(ชุมชนเขาน้อย),กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0273,S1 FRTU,HUB05S-11,ระบบจำหน่าย,โต๊ะสนุ๊กตาลเดี่ยว,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0274,S1 FRTU,HUB05S-12,ระบบจำหน่าย,ปากซอยคริสจักรหัวหิน,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0275,S1 FRTU,HUB08S-05,ระบบจำหน่าย,ซอยยอดบุญ,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0276,S1 FRTU,HUB08S-13,ระบบจำหน่าย,หน้าโรงพยาบาลหัวหิน,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0277,S1 FRTU,HUB08S-15,ระบบจำหน่าย,ตรงข้ามวัดวังไกลกังวล (โตโยต้า หัวหิน),กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0278,S1 FRTU,HUB08S-16,ระบบจำหน่าย,ห้างบุญถาวร,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0279,S1 FRTU,HUB08S-17,ระบบจำหน่าย,หน้าโรงเรียนพานิชย์,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0280,S1 FRTU,HUC02S-14,ระบบจำหน่าย,ตรงข้ามไฟฟ้าหัวหิน,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0281,S1 FRTU,HUB09S-05,ระบบจำหน่าย,ตรงข้าม ธ.กรุงไทย/คิวรถตู้,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0282,S1 FRTU,HUB10S-04,ระบบจำหน่าย,ทางเข้า สฟฟ.หห.2 ร้านเจ้ใหญ่หมูกะทะ,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0283,S1 FRTU,HUB10S-06,ระบบจำหน่าย,หน้าสถานีตรวจอากาศ,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0284,S1 FRTU,HUC05S-14,ระบบจำหน่าย,4แยกเขาพิทักษ์,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0285,S1 FRTU,HUC02S-06,ระบบจำหน่าย,เส้นเขาตะเกียบ/หน้าไฮแอท,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0286,S1 FRTU,HUC02S-13,ระบบจำหน่าย,หน้าโรงแรมอินเตอร์คอนติเนลตัล,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0287,S1 FRTU,HUC02S-17,ระบบจำหน่าย,หน้า ธ.ไทยพานิชย์,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0288,S1 FRTU,HUC03S-03,ระบบจำหน่าย,หน้าร้าน อร่อย@หัวหิน,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0289,S1 FRTU,HUC03S-05,ระบบจำหน่าย,หนองแก/ใต้สะพานกลับรถ,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0290,S1 FRTU,HUC03S-13,ระบบจำหน่าย,โรงแรมบลูเวฟ,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0291,S1 FRTU,HUC03S-17,ระบบจำหน่าย,หน้าวัดเขาลั่นทม,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0292,S1 FRTU,HUB03S-04,ระบบจำหน่าย,ก่อนถึง หนองขอน,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0293,S1 FRTU,HUC03S-19,ระบบจำหน่าย,คอนโดบ้านตรีทศ(เขาตะเกียบ),กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0294,S1 FRTU,HUC04S-07,ระบบจำหน่าย,สวนสน,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0295,S1 FRTU,HUC04S-10,ระบบจำหน่าย,ตรงข้าม รพ.สัตว์มหาวิทยาลัยเกษตร,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0296,S1 FRTU,HUC04S-11,ระบบจำหน่าย,หน้ามหาวิทยาลัยราชมงคล,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0297,S1 FRTU,HUC04S-13,ระบบจำหน่าย,สวนสน,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0298,S1 FRTU,HUC05S-05,ระบบจำหน่าย,หน้า สฟฟ.หัวหิน3,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0299,S1 FRTU,HUC05S-06,ระบบจำหน่าย,ก่อนถึง REC บ้านนาตาช้าง,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0300,S1 FRTU,HUC05S-08,ระบบจำหน่าย,ดุสิตแลนด์,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0301,S1 FRTU,HUC05S-09,ระบบจำหน่าย,ปากทางเข้าเขาพิทักษ์,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0302,S1 FRTU,CAA08S-08,ระบบจำหน่าย,ห้วยจิก หลังสนามบินบ่อฝ้าย,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0303,S1 FRTU,HUC09S-05,ระบบจำหน่าย,ตรงข้ามโรงจักร,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0304,S1 FRTU,HUC05S-13,ระบบจำหน่าย,ข้างในซอยหัวหิน 102,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0305,S1 FRTU,HUC09S-06,ระบบจำหน่าย,ข้างในซอยหัวหิน 102,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0306,S1 FRTU,HUC05S-51,ระบบจำหน่าย,หน้าวัดทับใต้,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0307,S1 FRTU,HUB04S-13,ระบบจำหน่าย,วัดหนองขอน,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0308,S1 FRTU,HUC05S-15,ระบบจำหน่าย,บ่อนไก่,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0309,S1 FRTU,PNA07S-18,ระบบจำหน่าย,บ้านสระน้อย,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0310,S1 FRTU,HUB05S-08,ระบบจำหน่าย,ทางไปโรงเรียงวังไกลกังวล,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0311,S1 FRTU,CAA04S-13,ระบบจำหน่าย,ทางไปโรงเรียงวังไกลกังวล,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0316,S1 FRTU,LSA07S-12,ระบบจำหน่าย,ตรงข้ามปั้ม PT,กฟส.หลังสวน,FRTU-RCS,ใช้งาน
S1-RCS-0317,S1 FRTU,LSA01S-10,ระบบจำหน่าย,หน้าปั้ม PT,กฟส.หลังสวน,FRTU-RCS,ใช้งาน
S1-RCS-0321,S1 FRTU,LSA02S-17,ระบบจำหน่าย,ตรงข้ามสำนักงานท่าแซะ,กฟส.ท่าแซะ,FRTU-RCS,ใช้งาน
S1-RCS-0322,S1 FRTU,CPA04S-21,ระบบจำหน่าย,บ้านหินกบ,กฟส.ท่าแซะ,FRTU-RCS,ใช้งาน
S1-RCS-0323,S1 FRTU,TSE10S-21,ระบบจำหน่าย,แยก ศจล.,กฟส.ท่าแซะ,FRTU-RCS,ใช้งาน
S1-RCS-0324,S1 FRTU,TSE06S-05,ระบบจำหน่าย,พ่อตาหินช้าง,กฟส.ท่าแซะ,FRTU-RCS,ใช้งาน
S1-RCS-0325,S1 FRTU,TSE06S-06,ระบบจำหน่าย,โค้งสายชล,กฟส.ท่าแซะ,FRTU-RCS,ใช้งาน
S1-RCS-0326,S1 FRTU,TSE06S-20,ระบบจำหน่าย,บ้านทุ่งมหา,กฟส.ท่าแซะ,FRTU-RCS,ใช้งาน
S1-RCS-0350,S1 FRTU,PNA10S-09,ระบบจำหน่าย,บ้านตาลหัวแถว,กฟส.ปราณบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0358,S1 FRTU,DNA05S-16,ระบบจำหน่าย,หน้าวัดเกาะแก้ว,กฟส.บางคนที,FRTU-RCS,ใช้งาน
S1-RCS-0363,S1 FRTU,SSA04S-14,ระบบจำหน่าย,โชติกาคาไม้,กฟส.สมุทรสงคราม,FRTU-RCS,ใช้งาน
S1-RCS-0365,S1 FRTU,LSA07S-26,ระบบจำหน่าย,ซ.โรงฆ่าสัตว์,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0366,S1 FRTU,XPA01S-12,ระบบจำหน่าย,นิวแลนด์,กฟส.สวนผึ้ง,FRTU-RCS,ใช้งาน
S1-RCS-0367,S1 FRTU,XPA02S-15,ระบบจำหน่าย,ตรงข้ามนิวแลนด์,กฟส.สวนผึ้ง,FRTU-RCS,ใช้งาน
S1-RCS-0368,S1 FRTU,XPA02S-13,ระบบจำหน่าย,อบต.สวนผึ้ง,กฟส.สวนผึ้ง,FRTU-RCS,ใช้งาน
S1-RCS-0370,S1 FRTU,RNA01S-11,ระบบจำหน่าย,บ้านบางริ้น,กฟส.ระนอง,FRTU-RCS,ใช้งาน
S1-RCS-0371,S1 FRTU,RNA04S-18,ระบบจำหน่าย,บ้านบางริ้น,กฟส.ระนอง,FRTU-RCS,ใช้งาน
S1-RCS-0374,S1 FRTU,RBB08S-17,ระบบจำหน่าย,Bypass AVR ตรงข้ามบริษัท VCF ฟีดมิลด์,กฟส.ปากท่อ,FRTU-RCS,ใช้งาน
S1-RCS-0375,S1 FRTU,PBA06S-35,ระบบจำหน่าย,Bypass AVR หลังโครงการชั่งหัวมัน,กฟส.ท่ายาง,FRTU-RCS,ใช้งาน
S1-RCS-0376,S1 FRTU,HUU03S-12,ระบบจำหน่าย,"Bypass AVR หนองพลับ,ป่าเต็ง",กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0377,S1 FRTU,TSE05S-04,ระบบจำหน่าย,Bypass AVR นิดาคาร์แคร์,กฟส.ท่าแซะ,FRTU-RCS,ใช้งาน
S1-RCS-0378,S1 FRTU,LSA03S-13,ระบบจำหน่าย,Bypass AVR ไลน์พะโต๊ะ,กฟส.หลังสวน,FRTU-RCS,ใช้งาน
S1-RCS-0379,S1 FRTU,LSA09S-15,ระบบจำหน่าย,Bypass AVR เขาชะมด,กฟส.หลังสวน,FRTU-RCS,ใช้งาน
S1-RCS-0380,S1 FRTU,LSA10S-22,ระบบจำหน่าย,Bypass AVR ละแมฟาร์มกุ้ง,กฟส.หลังสวน,FRTU-RCS,ใช้งาน
S1-RCS-0381,S1 FRTU,CPA08S-06,ระบบจำหน่าย,Bypass AVR บ้านปากจั่น,กฟส.ชุมพร,FRTU-RCS,ใช้งาน
S1-RCS-0382,S1 FRTU,XPA04S-20,ระบบจำหน่าย,Bypass AVR บ้านคา,กฟส.สวนผึ้ง,FRTU-RCS,ใช้งาน
S1-RCS-0383,S1 FRTU,XPA01S-13,ระบบจำหน่าย,Bypass AVR ห้วยหนึ่ง ผาปก,กฟส.สวนผึ้ง,FRTU-RCS,ใช้งาน
S1-RCS-0384,S1 FRTU,PTH04S-27,ระบบจำหน่าย,Bypass AVR สุสานสีตะศาลา,กฟส.ปากท่อ,FRTU-RCS,ใช้งาน
S1-RCS-0391,S1 FRTU,DNA05S-03,ระบบจำหน่าย,ดอนข่อย,กฟส.ดำเนินสะดวก,FRTU-RCS,ใช้งาน
S1-RCS-0395,S1 FRTU,PTH06S-03,ระบบจำหน่าย,โรงสีกังเละ,กฟส.ปากท่อ,FRTU-RCS,ใช้งาน
S1-RCS-0396,S1 FRTU,LSA08S-16,ระบบจำหน่าย,หลัง V&K,กฟส.จอมบึง,FRTU-RCS,ใช้งาน
S1-RCS-0397,S1 FRTU,CBN03S-20,ระบบจำหน่าย,โค้งพาณิชย์,กฟส.เพชรบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0401,S1 FRTU,SSA05S-05,ระบบจำหน่าย,หน้าอู่เฮงการช่าง,กฟส.สมุทรสงคราม,FRTU-RCS,ใช้งาน
S1-RCS-0402,S1 FRTU,SSA10S-22,ระบบจำหน่าย,หน้าอู่เฮงการช่าง,กฟส.สมุทรสงคราม,FRTU-RCS,ใช้งาน
S1-RCS-0403,S1 FRTU,PTS07S-18,ระบบจำหน่าย,บ้านหนองไก่ขัน,กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0404,S1 FRTU,DNA06S-06,ระบบจำหน่าย,ดอนเซ่ง,กฟส.ดำเนินสะดวก,FRTU-RCS,ใช้งาน
S1-RCS-0405,S1 FRTU,PTS05S-12,ระบบจำหน่าย,บ้านสส.ปรีณา,กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0406,S1 FRTU,RBB07S-13,ระบบจำหน่าย,แยกเข้าบริษัทจีหงษ์,กฟส.ราชบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0407,S1 FRTU,CBN10S-11,ระบบจำหน่าย,รง.ดอกไม้,กฟส.จอมบึง,FRTU-RCS,ใช้งาน
S1-RCS-0408,S1 FRTU,PTH04S-29,ระบบจำหน่าย,โป่งพรหม,กฟส.ปากท่อ,FRTU-RCS,ใช้งาน
S1-RCS-0409,S1 FRTU,CPA10S-26,ระบบจำหน่าย,ปากทางเข้าลาดใหญ่,กฟส.สมุทรสงคราม,FRTU-RCS,ใช้งาน
S1-RCS-0412,S1 FRTU,LSA01S-28,ระบบจำหน่าย,สนามกอล์ฟ,กฟส.ชุมพร,FRTU-RCS,ใช้งาน
S1-RCS-0413,S1 FRTU,XPA04S-15,ระบบจำหน่าย,ข้ามถนน V&K,กฟส.จอมบึง,FRTU-RCS,ใช้งาน
S1-RCS-0414,S1 FRTU,BSR02S-13,ระบบจำหน่าย,แยกบ้านทุ่งสีเสียด,กฟส.บางสะพาน,FRTU-RCS,ใช้งาน
S1-RCS-0415,S1 FRTU,KDA03S-05,ระบบจำหน่าย,บ้านสระยานนท์,กฟส.ท่ายาง,FRTU-RCS,ใช้งาน
S1-RCS-0416,S1 FRTU,RNB08S-09,ระบบจำหน่าย,สะพานโรงเค็ม,กฟส.ระนอง,FRTU-RCS,ใช้งาน
S1-RCS-0417,S1 FRTU,LSA02S-16,ระบบจำหน่าย,ปากซอย 15,กฟส.ระนอง,FRTU-RCS,ใช้งาน
S1-RCS-0418,S1 FRTU,RNB04S-12,ระบบจำหน่าย,บริษัททองมา,กฟส.ระนอง,FRTU-RCS,ใช้งาน
S1-RCS-0419,S1 FRTU,RNA06S-07,ระบบจำหน่าย,โค้งหงาว,กฟส.ระนอง,FRTU-RCS,ใช้งาน
S1-RCS-0420,S1 FRTU,RBC03S-06,ระบบจำหน่าย,ปากทางโรงโม่,กฟส.ราชบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0421,S1 FRTU,RBC03S-11,ระบบจำหน่าย,กลางกลุ่มทางเข้าโรงโม่,กฟส.ราชบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0500,S1 FRTU,CAA03S-08,ระบบจำหน่าย,บ้านบางเกตุ,กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0501,S1 FRTU,CAB06S-04,ระบบจำหน่าย,ซอยบ่อตาลักษณ์,กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0502,S1 FRTU,CAB06S-05,ระบบจำหน่าย,หน้าคลีนิคหมอแจง,กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0503,S1 FRTU,CAA09S-08,ระบบจำหน่าย,ถนนเจ้าลาย,กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0504,S1 FRTU,CAB09S-50,ระบบจำหน่าย,แยกบางควาย,กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0505,S1 FRTU,CAB09S-04,ระบบจำหน่าย,ค่ายพระราม 6,กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0506,S1 FRTU,CAB10S-10,ระบบจำหน่าย,ตรงข้ามคัมพาน่า,กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0507,S1 FRTU,CBN03S-10,ระบบจำหน่าย,ข้ามถนนหนองบัว,กฟส.จอมบึง,FRTU-RCS,ใช้งาน
S1-RCS-0508,S1 FRTU,CBN10S-09,ระบบจำหน่าย,บ้านหนองบัว,กฟส.กุยบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0509,S1 FRTU,CBN04S-07,ระบบจำหน่าย,ร้านปะยาง,กฟส.จอมบึง,FRTU-RCS,ใช้งาน
S1-RCS-0510,S1 FRTU,CBN04S-08,ระบบจำหน่าย,ร้านวงพิทักษ์,กฟส.จอมบึง,FRTU-RCS,ใช้งาน
S1-RCS-0511,S1 FRTU,CBN10S-26,ระบบจำหน่าย,ตรงข้าม APM,กฟส.จอมบึง,FRTU-RCS,ใช้งาน
S1-RCS-0512,S1 FRTU,CBN04S-20,ระบบจำหน่าย,ข้างโรงเรียนอนุบาลจอมบึง,กฟส.จอมบึง,FRTU-RCS,ใช้งาน
S1-RCS-0513,S1 FRTU,CBN03S-15,ระบบจำหน่าย,สะพานทุ่งแหลม,กฟส.จอมบึง,FRTU-RCS,ใช้งาน
S1-RCS-0514,S1 FRTU,CBN09S-09,ระบบจำหน่าย,แยกหนองขนาด,กฟส.จอมบึง,FRTU-RCS,ใช้งาน
S1-RCS-0515,S1 FRTU,CPB09S-05,ระบบจำหน่าย,สะพานท่านางสังข์,กฟส.ชุมพร,FRTU-RCS,ใช้งาน
S1-RCS-0516,S1 FRTU,CPA01S-25,ระบบจำหน่าย,ไปรษณีย์,กฟส.ชุมพร,FRTU-RCS,ใช้งาน
S1-RCS-0517,S1 FRTU,CAB02S-06,ระบบจำหน่าย,จุดแบ่งเขตวัดโบสถ์ (ตะวันออก),กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0518,S1 FRTU,CAB07S-09,ระบบจำหน่าย,จุดแบ่งเขตวังโบถ (ตะวันตก),กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0519,S1 FRTU,KUA04S-07,ระบบจำหน่าย,ก่อนถึงวัดปากคลองเกียว,กฟส.กุยบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0520,S1 FRTU,KUA07S-04,ระบบจำหน่าย,คลองชายธง,กฟส.กุยบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0521,S1 FRTU,RBB08S-13,ระบบจำหน่าย,โรงเจหนองไผ่,กฟส.เขาย้อย,FRTU-RCS,ใช้งาน
S1-RCS-0522,S1 FRTU,KHZ01S-08,ระบบจำหน่าย,ก่อนถึงปั้มบางจาก,กฟส.เขาย้อย,FRTU-RCS,ใช้งาน
S1-RCS-0523,S1 FRTU,KHY10S-04,ระบบจำหน่าย,หน้าธนาคารกรุงเทพ,กฟส.บางสะพาน,FRTU-RCS,ใช้งาน
S1-RCS-0524,S1 FRTU,PBA03S-21,ระบบจำหน่าย,โรงเรียนพาณิชย์,กฟส.เพชรบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0525,S1 FRTU,PBA03S-17,ระบบจำหน่าย,หน้าโรงเรียนเบญ,กฟส.เพชรบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0526,S1 FRTU,PBA04S-19,ระบบจำหน่าย,หน้าวัดพลับ,กฟส.เพชรบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0527,S1 FRTU,PBA04S-07,ระบบจำหน่าย,ข้างคงคาราม,กฟส.เพชรบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0528,S1 FRTU,PBA08S-10,ระบบจำหน่าย,หน้าโรงกลึง,กฟส.เพชรบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0529,S1 FRTU,PTR07S-14,ระบบจำหน่าย,หน้าวัดป่า,กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0530,S1 FRTU,PTR08S-08,ระบบจำหน่าย,ก่อนถึงครัวลุงจิ๋ว,กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0531,S1 FRTU,PTR09S-05,ระบบจำหน่าย,ปั๊มเอสโซ่แยกบางแพ,กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0532,S1 FRTU,PTS05S-09,ระบบจำหน่าย,ติดกับวัดม่วง,กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0533,S1 FRTU,PTR04S-11,ระบบจำหน่าย,ซอยนพคุณ,กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0534,S1 FRTU,PTR04S-10,ระบบจำหน่าย,หน้า MC( รูปปั้นช้าง),กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0535,S1 FRTU,PTR07S-06,ระบบจำหน่าย,ข้างกังวาล,กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0536,S1 FRTU,PTR04S-15,ระบบจำหน่าย,ป้อมปิด-เปิดรถไฟ,กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0537,S1 FRTU,PTR07S-04,ระบบจำหน่าย,ตรงข้ามสมหวัง,กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0538,S1 FRTU,PTR01S-07,ระบบจำหน่าย,โค้งหนองอ้อ,กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0539,S1 FRTU,PTR01S-10,ระบบจำหน่าย,บ้านน้ำหัก(ขนมปังปี๊บ),กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0540,S1 FRTU,PTR06S-05,ระบบจำหน่าย,ตึกกำนันวันชาติ,กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0541,S1 FRTU,PTR02S-10,ระบบจำหน่าย,มั่นยิ่ง,กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0542,S1 FRTU,PTS09S-08,ระบบจำหน่าย,จุดแบ่งเขตท่ามะขาม,กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0543,S1 FRTU,PTS07S-13,ระบบจำหน่าย,ไฟแดง เลย กฟฟ.นางแก้ว,กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0544,S1 FRTU,PTS09S-20,ระบบจำหน่าย,บ้านชำแระ,กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0545,S1 FRTU,PTS09S-12,ระบบจำหน่าย,ข้างเอเวอเรส (วัดขนอน),กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0546,S1 FRTU,PTS02S-06,ระบบจำหน่าย,ตรงข้ามป้อม ตร.เตาปูน,กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0547,S1 FRTU,PTS01S-06,ระบบจำหน่าย,ขำเจริญ,กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0548,S1 FRTU,PTS05S-11,ระบบจำหน่าย,สกอร์เปี้ยน,กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0549,S1 FRTU,KUA04S-06,ระบบจำหน่าย,ทางไปปากคลองเกียว,กฟส.กุยบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0550,S1 FRTU,KUA05S-12,ระบบจำหน่าย,บ้านสำโหรง,กฟส.กุยบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0551,S1 FRTU,KUA04S-08,ระบบจำหน่าย,บ้านในดง,กฟส.กุยบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0552,S1 FRTU,KUA09S-06,ระบบจำหน่าย,หน้าวัดสำโหรง,กฟส.กุยบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0553,S1 FRTU,CPA04S-10,ระบบจำหน่าย,ปากทางเข้าบ้านวิสัย,กฟส.ชุมพร,FRTU-RCS,ใช้งาน
S1-RCS-0554,S1 FRTU,CPA10S-21,ระบบจำหน่าย,บ้านวิสัย,กฟส.ชุมพร,FRTU-RCS,ใช้งาน
S1-RCS-0555,S1 FRTU,XPA04S-22,ระบบจำหน่าย,บ้านโป่งเจ็ด,กฟส.จอมบึง,FRTU-RCS,ใช้งาน
S1-RCS-0556,S1 FRTU,BSP04S-15,ระบบจำหน่าย,ตรงข้ามสวีทโฮม,กฟส.บางสะพาน,FRTU-RCS,ใช้งาน
S1-RCS-0557,S1 FRTU,BSP05S-15,ระบบจำหน่าย,บ้านยายพลอย,กฟส.บางสะพาน,FRTU-RCS,ใช้งาน
S1-RCS-0558,S1 FRTU,BSP04S-09,ระบบจำหน่าย,หน้าวัดวังยาว,กฟส.บางสะพาน,FRTU-RCS,ใช้งาน
S1-RCS-0559,S1 FRTU,BSR06S-06,ระบบจำหน่าย,หน้าไปรษณีย์บางสะพาน,กฟส.บางสะพาน,FRTU-RCS,ใช้งาน
S1-RCS-0560,S1 FRTU,BSR09S-10,ระบบจำหน่าย,บ้านบนดอน,กฟส.บางสะพาน,FRTU-RCS,ใช้งาน
S1-RCS-0561,S1 FRTU,BSR09S-06,ระบบจำหน่าย,บ้านฝายท่า,กฟส.บางสะพาน,FRTU-RCS,ใช้งาน
S1-RCS-0562,S1 FRTU,BSP07S-10,ระบบจำหน่าย,ก่อนถึงวัดห้วยลึก (ตะวันตก),กฟส.บางสะพาน,FRTU-RCS,ใช้งาน
S1-RCS-0563,S1 FRTU,BSP05S-11,ระบบจำหน่าย,บ้านปากคลอง,กฟส.บางสะพาน,FRTU-RCS,ใช้งาน
S1-RCS-0564,S1 FRTU,BSP10S-06,ระบบจำหน่าย,เกาะยายฉิม,กฟส.บางสะพาน,FRTU-RCS,ใช้งาน
S1-RCS-0565,S1 FRTU,BSP05S-08,ระบบจำหน่าย,สถานีรถไฟบ้านกรูด,กฟส.บางสะพาน,FRTU-RCS,ใช้งาน
S1-RCS-0566,S1 FRTU,BSP10S-14,ระบบจำหน่าย,แยกหนองตาเมือง,กฟส.บางสะพาน,FRTU-RCS,ใช้งาน
